Contig	A5-S03	A5-S04	KW1-S05	KW1-S08	KW1-S11	KW1-S15	KW1-S21
KW1-S05__k141_9507504	0.8711374	2.9119	4.7403026	2.6548324	3.9230769	2.927679	3.3556871
KW1-S08__k141_7031059	0.0646923	0.10269692	0.2099544	6.4181633	0.7434829	0.24897246	0.17684814
KW1-S15__k141_6709266	0.40983605	0.90163934	1.2277517	1.8032787	1.1475409	2.2892272	1.1475409
A5-S03__k141_3574176	11.409535	6.726773	9.272616	3.9572127	3.4566014	4.8037896	5.9376526
KW1-S15__k141_5628878	4.041701	3.4504652	4.704586	7.1024156	5.981802	6.740656	7.1661496
KW1-S15__k141_9920843	0	0.21857305	0.09060023	0.30237827	0.6342016	1.1834655	0.1585504
KW1-S08__k141_10110489	0.6110202	1.4631752	0.95471907	2.9574468	2.4539008	1.776323	1.4118931
A5-S04__k141_7524783	1.939394	3.6233766	1.0378788	1.3636364	1.650433	2.4242425	1.5151515
A5-S03__k141_1204883	1.0100309	0.43209878	1.1882716	1.8263888	0.86419755	0.75617284	1.0771605
A5-S04__k141_9799372	2.967042	4.273963	2.8017027	4.574018	2.4215875	4.5549297	3.4376545
KW1-S08__k141_3088658	1.0140057	1.2492998	0.9070028	3.6168067	1.1282914	2.5490196	1.6319327
KW1-S15__k141_3945256	1.4594594	0.88058966	1.7194103	1.095823	1.2889435	2.2044227	0.8255528
KW1-S08__k141_5465825	0.17673378	0	0.61834455	3.3431768	0.37583894	1.2107383	1.4519016
A5-S04__k141_3506386	2.5377643	4.1470294	1.9738168	1.9738168	1.8328298	1.6918429	3.3836858
KW1-S21__k141_8976624	5.3226748	6.4329696	5.512477	5.6542077	3.4615967	5.734795	7.786216
KW1-S11__k141_8651982	36.08614	30.855017	33.116985	60.07835	50.490192	45.398838	42.477833
A5-S04__k141_492380	2.020879	3.1923077	0.5967033	0.30769232	0	0.30769232	0.23956044
A5-S04__k141_6239408	3.115356	2.6175816	2.6969585	2.5178041	1.7744807	3.4899852	2.1594956
A5-S03__k141_6973091	1.1716287	0.59281963	0.10420315	0.86514884	0	1.1287216	0.5989492
KW1-S15__k141_1111244	0.15005359	0.45016077	0.90032154	0.45016077	0	1.8703108	1.0943193
KW1-S15__k141_4179581	0.6243842	0.45935962	0.4963054	1.4131774	0.7272167	3.403941	1.1077586
