Contig	A5-S03	A5-S04	KW1-S05	KW1-S08	KW1-S11	KW1-S15	KW1-S21
KW1-S11__k141_2008895	2.4841592	2.2461414	1.0113729	4.3216896	3.5775793	3.184403	3.8659627
KW1-S21__k141_2685168	0.42813456	0.93883795	0.28542304	0.14271152	0.99898064	1.1416922	2.4699287
A5-S03__k141_5975205	3.4855769	1.7096153	1.4134616	0.46346155	0.53846157	1.75	1.2115384
KW1-S21__k141_8220168	0.47945204	0.8481735	0.5097032	1.6147261	1.4046804	0.74486303	2.331621
KW1-S15__k141_10509184	0.9235669	1.2876858	0.21868365	1.1167728	1.1995754	2.3800426	1.5233545
KW1-S08__k141_5425506	30.31619	73.094765	63.27667	60.760475	47.31	56.269047	57.210953
KW1-S05__k141_4291454	0.31496063	0	1.1754781	0.62992126	0.31496063	0.15748031	0.31496063
A5-S04__k141_2000502	0.838069	1.8701497	0.59517264	1.2798656	1.1973724	1.5520929	0.85548425
KW1-S08__k141_10489074	0.32735777	0.07560405	0.16835542	1.2572097	0.2182385	0	0.49961028
KW1-S15__k141_1366495	2.7324526	3.080099	3.247729	2.9050372	3.2914946	4.730801	4.6135426
KW1-S11__k141_5218557	1.3579477	0.9114688	0.7983903	2.80503	3.2042253	2.569819	1.6800805
A5-S04__k141_874208	0	3.94367	0.08130081	0	0	0	0.16260162
KW1-S05__k141_7312354	1.8963318	0.22328548	3.73126	1.1594896	2.121212	0.5582137	1.339713
KW1-S05__k141_5216064	1.5252918	1.4225681	3.4980545	1.9844358	2.0007782	2.1346304	1.7042801
A5-S04__k141_9263252	1.2411348	2.4698582	0.4964539	1.464539	0.59574467	1.1170213	1.9184397
KW1-S15__k141_8705599	1.7826918	2.587216	1.8537024	5.040063	3.844137	5.028247	4.3503265
A5-S04__k141_9028288	18.271427	27.094025	27.937962	36.66988	32.239662	39.280624	35.098866
A5-S03__k141_5429782	2.2545323	2.3161712	1.2965918	1.475707	0.5076142	1.3647571	1.5228426
A5-S04__k141_4918904	3.6498158	3.8285906	3.1394935	3.1969647	2.3345609	3.2755272	2.7080684
KW1-S21__k141_7068117	0.4876943	0.18069948	0.6237047	0	0.4242228	0.1126943	1.126943
KW1-S15__k141_10040428	1.9847748	2.849651	3.1006556	3.4049482	2.994502	6.530556	3.8974414
A5-S04__k141_7023628	15.37751	12.944779	13.324297	7.3303213	6.2238955	12.955823	11.29016
KW1-S15__k141_5956877	1.5748864	0.979715	1.9074109	0.6829071	7.1938896	7.4323936	6.463319
A5-S03__k141_4506186	8.415769	1.4150944	2.4710243	2.5626686	1.9090296	0.8712938	1.9204851
KW1-S11__k141_3728414	0.45652175	1.4728261	0.45652175	0.76086956	1.9293479	0.5445652	1.4391304
KW1-S15__k141_7748678	2.2057102	1.3568814	1.8433383	2.4978037	2.068814	3.97877	2.7778184
KW1-S21__k141_399001	0.15659955	0.15659955	0.2751678	0	0	0.29753914	0.72035795
KW1-S21__k141_1916307	1.1235955	1.5386649	1.3354263	2.0426304	1.8433576	3.6933246	3.2035692
KW1-S11__k141_1895300	9.4027405	18.254025	15.616455	6.842191	13.764379	3.3019412	8.207741
A5-S04__k141_9979292	0.7407407	1.5072751	0.8068783	0.625	0.6481481	1.9133598	1.1111112
A5-S04__k141_1382525	0.39399624	2.5628517	2.0825515	0.85084426	0.08818011	0.36491558	1.108818
A5-S03__k141_4050518	6.3386946	0.26490065	0.66225165	0.26490065	0.397351	0	0.13245033
KW1-S15__k141_9859540	1.2926682	2.3557692	1.2578125	1.5973557	0.9254808	2.936899	1.6826923
KW1-S08__k141_4987469	3.7049181	4.249836	4.6688523	3.6340983	1.449836	2.32	3.4531147
KW1-S15__k141_2461679	1.2977021	2.457531	2.3875709	4.4146433	3.049028	4.11629	4.0414925
KW1-S05__k141_1578060	1.6607745	3.5378788	2.0488214	4.396465	1.7045455	2.766835	2.7542088
A5-S04__k141_572694	0.434333	0.9358842	0.2895553	0.61116856	0.72388834	0.434333	0.2895553
KW1-S15__k141_5295167	1.1513158	1.029057	1.3969299	2.8700657	0.997807	3.6973684	2.8744516
A5-S04__k141_3157825	6.68968	13.708575	11.5588665	5.6213665	3.9629362	4.375	5.3081393
A5-S03__k141_7825155	2.3414001	0.59896284	1.2636127	0.40103716	0.48228177	0.60501295	0.36300778
A5-S04__k141_8968353	1.5241188	3.7244897	1.5584415	2.5482376	2.151206	1.1502783	1.5584415
KW1-S05__k141_9733188	0.23831776	0.4906542	1.9509345	1.1261683	0	0.3271028	0.9813084
KW1-S21__k141_5024447	1.2891344	0.46040517	1.2863721	0.89686924	0.9023941	0.5432781	2.5644567
KW1-S11__k141_1859874	0.3782696	0.9336016	1.0080483	1.3269618	2.11167	1.4969819	0.7756539
A5-S03__k141_3299079	4.1387777	1.0394061	2.2261565	4.0748143	2.0645347	4.2312965	4.717304
KW1-S15__k141_4358960	4.5401382	1.9090909	3.371345	4.0816054	2.7655501	4.7084	3.5167465
A5-S03__k141_573216	4.6137753	9.17187	7.1725135	6.911168	3.9652398	7.478275	6.002253
KW1-S21__k141_3281944	1.7539227	1.9808649	2.393035	3.5843859	1.5537696	4.1775737	5.0371222
KW1-S08__k141_3451603	0.92568016	0.92402124	0.46317187	2.6453218	1.0723292	0.92003983	1.3460518
KW1-S11__k141_4548254	0.20408164	0.81632656	1.0153061	1.0196793	1.6946064	1.0546647	1.4803207
A5-S04__k141_2546326	18.154573	25.109938	16.849384	15.186235	10.766491	15.958883	12.866315
A5-S04__k141_9132070	0.1167153	3.720717	0.8841184	0.23301375	0.1642351	0	2.1875782
KW1-S08__k141_8159051	0.16489989	1.5235571	1.401649	0.65371025	0.8215548	1.4764429	0.73733807
KW1-S21__k141_62818	105.68013	135.57396	116.52787	207.81967	244.06781	123.55764	169.98132
A5-S04__k141_6591919	2.393811	4.181009	1.1093683	5.1131835	3.3806698	3.5621026	2.3353117
KW1-S21__k141_1818658	4.0551558	6.468825	6.8856115	11.341487	9.571703	10.034053	11.045084
KW1-S05__k141_1663789	0.11260828	0	0.60153997	0.13474494	0.26660252	0	0
A5-S04__k141_2273205	0.76155937	1.4660019	0.5077063	0.88848597	0.6201269	0.25385314	0.7579329
A5-S03__k141_5204652	3.46395	0.61442006	2.8501568	1.046395	0.38119122	1.5943574	0.5247649
KW1-S08__k141_7895758	11.710964	13.902357	17.554714	14.110479	16.897621	14.722433	14.725589
KW1-S11__k141_3607216	1.9346733	1.9309045	3.0092127	3.1733668	3.7776382	4.860134	4.14866
KW1-S05__k141_1675488	0.3004292	0.29256082	1.479256	0.8955651	0	0.5007153	0.3004292
KW1-S15__k141_8903319	0.77840906	1.9818182	1.8142046	1.9886364	1.24375	2.8835227	2.3784091
A5-S04__k141_9371421	11.916594	10.569285	7.8146515	11.907326	8.353045	12.120035	14.702559
KW1-S08__k141_9928955	8.4208	13.69111	7.2120776	11.127726	8.945843	11.999761	10.654446
A5-S03__k141_137904	5.675332	0.90756786	0.67648757	0.35470825	0.56614673	0.72559214	0.6008088
KW1-S11__k141_1162116	3.639857	4.277033	8.824843	8.291331	4.4620194	9.336015	7.701519
KW1-S05__k141_5776538	0.30701753	0	1.370614	0	0.15350877	0.03618421	0
A5-S04__k141_7228772	1.2967758	3.3817782	0.78651685	1.3004397	0.86858815	1.1502198	1.7623352
A5-S03__k141_6589759	2.893486	3.065141	2.5880282	1.971831	0.8626761	1.1091549	1.5941901
KW1-S08__k141_8451724	15.259906	26.697784	23.421087	43.72599	30.792479	32.61249	34.554733
KW1-S21__k141_8758853	1.5663099	0.49837133	0.9232201	1.6966031	1.4108888	2.3117728	3.193113
KW1-S15__k141_1102140	11.466792	19.756756	15.45087	19.42112	15.778127	24.662268	20.324324
A5-S04__k141_999529	0.3185438	2.1046643	0.27872583	0	0.6370876	0.5335609	0.6370876
KW1-S05__k141_6535621	7.348647	9.089679	8.731592	14.316866	8.669603	14.988987	12.712398
A5-S04__k141_123899	6.324766	13.607476	9.114486	8.591589	8.348131	9.517757	10.527102
KW1-S08__k141_7880751	1.0588981	1.1317289	1.241292	2.915136	0.5440152	2.6599114	1.391387
KW1-S08__k141_2238674	2.2667472	2.7881713	1.9432709	6.555824	2.027761	3.371756	4.675317
KW1-S15__k141_6019773	18.625662	29.76918	30.925926	32.964287	19.031084	27.035715	32.484787
KW1-S05__k141_9364701	8.175465	13.853532	11.788104	15.37026	18.361338	16.960594	16.401487
KW1-S08__k141_10060706	1.0752966	2.4270766	1.3177993	5.86753	2.092233	4.0131607	4.2883496
A5-S04__k141_3538226	0	1.7757225	0.1618497	0	0	0	0.3236994
KW1-S15__k141_4877898	3.1377373	4.623331	3.3232608	8.429375	11.149684	14.988756	9.480675
A5-S03__k141_3348175	3.694737	2.3210526	2.5789473	1.3464912	0.7368421	0.895614	1.8201754
KW1-S21__k141_9147974	5.6709957	10.2169695	8.0987015	9.645368	7.1598268	13.792727	11.041212
A5-S03__k141_8423513	2.8758223	1.9572369	1.0205592	1.0361842	1.2261513	1.1455592	1.4605263
KW1-S15__k141_3064099	1.3148549	2.0282025	2.226237	5.6241574	3.7031684	6.5097165	5.1303926
KW1-S21__k141_212601	3.683527	1.8553656	2.841695	7.201914	3.2221463	5.5881066	5.582775
A5-S03__k141_5894061	4.791892	4.042085	3.0810812	2.4471042	1.9810811	2.0185328	2.3451738
A5-S03__k141_2610647	2.04728	0.7117438	1.1326894	0.85409254	1.7661413	1.3035079	1.5251652
KW1-S21__k141_8199188	4.896396	4.349099	3.8153152	5.7150903	3.8085585	7.222973	5.5045047
KW1-S05__k141_6625229	3.8516035	6.173339	5.7375813	5.330748	4.6254454	6.307902	5.859359
KW1-S08__k141_4845305	1.9049531	1.8264167	0.9518072	3.0084784	2.297635	1.6242748	2.3440428
KW1-S05__k141_3359453	9.221601	11.935133	23.710241	16.883108	11.784327	19.111952	17.012842
A5-S04__k141_3350123	0.15712683	2.2042649	1.0774411	0.26262626	1.237935	0.31425366	0.9382716
A5-S04__k141_7359250	1.6141065	2.5381486	1.4699898	2.3550355	2.588335	2.2787385	2.8945405
A5-S04__k141_3597276	1.9734572	4.764101	1.8818846	2.5812874	2.4681487	2.753152	2.5179164
A5-S03__k141_4193871	5.255005	0.9156339	3.949285	2.0845568	1.8243089	2.2015252	1.149857
A5-S04__k141_6086919	1.3179916	2.8504183	0.8640167	1.6171548	0.3420502	1.2405858	1.625523
KW1-S15__k141_8112734	1.5501385	1.1833795	1.7202216	1.5617728	0.38781163	2.8448753	1.1257617
KW1-S08__k141_4499230	0.34596375	0.80601317	0.9777595	2.5971994	1.2030478	1.0930808	1.2685338
A5-S03__k141_2402963	3.1960185	1.5030628	1.6584992	2.858346	0.8506891	2.9119449	3.3392036
KW1-S11__k141_5073361	0.5963402	2.6964478	1.350915	2.386437	2.6200216	5.0968785	2.0914962
A5-S04__k141_8939823	0.5092387	0.7989653	0.383592	0.41389504	0.10051737	0.2956393	0.41019955
KW1-S08__k141_1273853	1.9049271	2.8084664	2.7890353	3.6217904	2.223456	3.6939626	1.8278973
A5-S03__k141_4544402	1.6680834	0.8636012	0.9737249	0.86553323	0.75734156	1.1360123	0.7534776
A5-S04__k141_3611572	0.27972028	1.2187812	0.27972028	0.41958043	0.27972028	0.83916086	0.13986014
KW1-S21__k141_738412	0.44864866	0.45405406	0.32324323	0.26378378	0.3027027	0.63567567	1.0010811
A5-S04__k141_9024035	2.9537401	8.762303	4.2987204	4.288386	2.7834647	2.117126	3.238189
A5-S04__k141_361319	1.4084295	2.5775213	1.738585	2.265429	1.1194179	1.3908681	2.1204214
A5-S03__k141_8027729	4.7958136	4.8935	5.976619	8.675114	5.891052	6.663484	7.2571917
KW1-S15__k141_1373194	7.1081524	9.957861	8.253637	11.753829	11.965038	13.181696	12.114785
A5-S04__k141_5730689	1.0873786	0.815534	0.8048544	1.4951457	0.9514563	0.407767	0.6796116
KW1-S15__k141_2832271	2.2361038	2.075172	2.054526	2.7474854	2.2758074	5.5505557	2.9184754
KW1-S05__k141_1641554	2.3580284	1.463779	3.1769977	1.1871547	0.50186706	1.317401	1.8192681
KW1-S15__k141_10649884	0.96477795	1.1826187	1.0172281	0.8051302	0.4287902	1.7488514	0.62289435
KW1-S05__k141_271694	4.572906	5.4539814	10.307136	5.8231645	3.1261635	9.074457	5.1913133
KW1-S08__k141_3209364	0.3951082	0.7855127	0.20037629	2.6378174	0.13170272	0.5738476	0.8936971
KW1-S21__k141_1257054	0.20234114	0.9205686	1.256689	0.38712373	1.7391304	0.7591973	2.277592
KW1-S05__k141_4701045	1.1334889	1.3854328	1.5728357	1.2052877	0.90176255	1.4351996	1.5679108
A5-S04__k141_3441755	0.6988372	4.351163	1.1825582	1.6302326	1.4802326	1.9511628	2.1697674
A5-S03__k141_1391541	1.3204365	0.8194444	0.4236111	0.8501984	0.37202382	0.79761904	1.0763888
KW1-S05__k141_7804285	0	4.008216	2.6819248	1.8028169	1.870892	0.6455399	1.5152582
KW1-S05__k141_1737655	2.1007316	2.6786718	3.1412492	1.886888	1.3393359	4.7304444	3.1513786
KW1-S21__k141_6184361	1	0.5527192	0.7336293	0.40066594	0	0.114317425	1.1553829
KW1-S15__k141_8274746	2.1959698	2.3491185	0.80856425	2.9420655	2.0594459	3.4856424	2.8191435
KW1-S15__k141_6944755	0.8359265	0.6930693	1.1881188	0.9080622	0.2970297	1.7192363	0.6152758
A5-S03__k141_6343551	0.93860465	0.61674416	0.2911628	0.77302325	0.3906977	0.35534883	0.13023256
A5-S03__k141_912241	3.4755192	1.43546	1.6869437	1.6654303	1.7982196	1.8360534	2.8850148
A5-S04__k141_9981680	4.8317637	8.505993	6.400685	7.2363014	5.094178	3.8916953	5.623716
KW1-S05__k141_8629598	0.13833992	0.34189722	0.88833994	0.13833992	0	0.1333992	0.13833992
KW1-S21__k141_2527592	2.7500775	4.808919	3.45463	6.6816354	5.7934346	6.610096	6.487767
KW1-S08__k141_9522224	14.215603	35.66241	32.32553	28.461702	26.729078	29.065958	27.307802
KW1-S11__k141_6280249	0.9119119	0.16416417	0.5575576	0.45945945	1.1071072	0.7727728	0.7767768
KW1-S05__k141_5717234	0	0.31477273	0.5477273	0	0	0.15113637	0.07159091
KW1-S08__k141_2414892	2.5767343	1.2501752	1.4029433	1.2887176	1.4933426	1.1184303	1.2733006
A5-S03__k141_7851862	2.2757685	1.4873418	0.94349	1.522152	1.0637432	1.3652803	2.932188
KW1-S11__k141_889130	15.396938	12.604156	10.3253145	9.512849	7.674139	11.3723345	9.864954
KW1-S11__k141_461756	0.5115758	0.09858103	0.3136669	0.3136669	1.3756535	0.5115758	0.20911127
A5-S04__k141_507371	3.1402903	5.349001	4.035073	3.4312923	1.5100619	4.9537873	4.2445736
A5-S03__k141_8005636	1.346543	0.5902192	0.4721754	1.4165261	0.68296796	0.5902192	0.9443508
A5-S03__k141_3423589	1.1694725	0.15712683	0.6285073	0.6060606	1.1829405	1.1099888	0.94276094
A5-S03__k141_1413816	1.5688074	0.63761467	1.0587156	0.6229358	0.25688073	0.12844037	0.41284403
KW1-S11__k141_898124	1.6591549	2.2985916	2.6976526	2.8460095	3.4488263	2.3070424	3.259155
KW1-S21__k141_8806071	0.19518273	0.7292359	0.40780732	0.34551495	0.34053156	0.3488372	1.5631229
A5-S03__k141_844530	4.473129	0.134357	1.5930902	0	0.134357	0.13051823	0
KW1-S21__k141_4821217	1.6981367	1.4322982	1.6322981	2.7846274	3.6579192	2.3841615	3.6663043
A5-S04__k141_7995902	7.16852	6.8597093	6.727117	10.523524	9.556031	12.147989	7.4764757
A5-S03__k141_5906508	5.831348	2.1479623	3.8025079	5.792163	2.7050157	5.5827584	5.0557995
KW1-S08__k141_5866152	0.27040076	0.27040076	0.5408015	3.02704	0.81120235	1.6900048	1.5548044
KW1-S05__k141_1888726	0.13795792	0	0.705378	0.24707717	0.21434139	0.37412316	0.31722525
KW1-S21__k141_3740611	2.7609563	3.7828686	3.6125498	2.0916336	3.0378487	3.4880478	3.6025896
KW1-S15__k141_10157888	0.5500562	0	0.47244096	0.8616423	0.15748031	2.3430822	0.9808774
A5-S04__k141_8850223	6.853203	4.395259	4.3102345	2.9174836	0.9436973	4.046957	3.681559
KW1-S05__k141_8035628	0.5696846	0.19226857	2.4384537	0	0	0	0.42726347
KW1-S21__k141_8928897	1.5803291	2.3507175	1.7535877	2.499125	2.6545327	3.4112706	4.19951
KW1-S21__k141_10569134	3.4475524	2.676457	2.4149184	4.189277	3.2522144	3.1967366	4.818182
KW1-S08__k141_2663010	0.2777778	1.968254	1.1021825	3.6309524	1.5357143	0.89781743	1.9742063
A5-S04__k141_6973695	11.957371	17.566221	26.806377	27.395704	17.947933	35.221607	27.474455
KW1-S08__k141_4094200	4.933941	8.020501	4.017084	11.973804	6.8268795	17.541002	10.312073
KW1-S08__k141_2869753	6.3651996	8.630502	7.284044	11.006362	3.900361	2.997593	6.196527
KW1-S15__k141_5987025	0.5761317	1.2148148	1.3827161	1.2065843	2.0987654	3.4971194	1.1325103
KW1-S05__k141_9225062	0.10920437	0.5460218	1.3611544	0.32761312	0.21840873	0.7644306	0.32761312
KW1-S15__k141_9252311	1.0045066	2.030835	2.4546964	2.341556	1.7260437	3.1857212	2.1987667
KW1-S11__k141_7127976	0.98092645	2.6702998	0.9682107	2.1444142	3.709355	3.4250681	3.2316077
KW1-S08__k141_10886026	1.8741397	3.2468042	1.5004916	4.2822027	1.5063914	2.3166175	3.2959685
KW1-S05__k141_762706	0.7963595	0.75085324	1.9795222	0.9556314	0.9556314	0.6370876	2.1353812
KW1-S11__k141_2609613	0.09228741	0.18193804	0.09228741	0.46143705	1.2959789	0.18457481	0.18457481
KW1-S21__k141_6904367	2.7020183	5.1611924	5.196412	6.3142066	3.647144	6.680517	6.258541
A5-S03__k141_8676488	3.771212	1.9661616	1.3787879	1.0866162	0.46515152	1.720707	0.96287876
KW1-S15__k141_9680976	1.2788671	0.6810458	1.3568628	1.0980393	0.99215686	2.469281	1.2013072
A5-S03__k141_4544248	3.2921147	1.6905615	1.7735962	1.0585424	1.2544802	1.4020311	2.1015532
A5-S03__k141_1975453	7.0672007	5.895339	5.1655703	3.5581927	1.9127824	2.577066	2.7148986
KW1-S15__k141_3757528	9.0308895	13.6124735	11.827912	20.068205	19.729866	23.506493	19.428186
KW1-S15__k141_8819552	0	0.45390624	0.328125	1.5625	0.16015625	3.7703125	0.4375
KW1-S15__k141_6070914	0.6393762	0.2729045	0.2729045	0.2729045	0.39961013	2.2894738	0.4093567
KW1-S11__k141_3215429	0.45454547	1.8275862	1.234326	1.75	2.9568965	2.0282133	2.344044
KW1-S15__k141_10255222	0.4362881	0.3625346	1.1880194	0.5141967	2.0893352	3.8885043	2.199446
A5-S03__k141_1462910	2.1612473	3.1975987	2.6486576	2.2281141	2.2379522	3.0108387	2.8400867
KW1-S21__k141_1788462	0.9124432	1.9683924	1.8555858	2.3108084	1.595822	2.7291553	3.5264306
A5-S03__k141_2501173	1.4622824	0.9477756	0.53288203	0.13539653	0.47485495	0.25048357	0.116054155
KW1-S21__k141_8030530	0.729697	1.1030303	1.5593939	1.4424243	1.0709091	1.1006061	2.5327272
KW1-S08__k141_3186310	2.9685235	5.5468855	4.8751187	6.8315644	4.784642	5.197277	5.7473097
KW1-S15__k141_8108671	3.4789338	1.8211522	1.6061909	2.9458299	2.6534824	4.3361993	2.3181427
KW1-S05__k141_8440603	0.77951	0.93541205	1.5523385	0.92650336	0.623608	0.74944323	1.6993319
KW1-S15__k141_1765764	1.562799	3.8969	3.1294951	3.0565102	1.741364	5.176971	3.082551
KW1-S21__k141_8988238	4.7214584	7.9042845	7.5082054	11.451166	9.234011	10.642154	11.655549
KW1-S05__k141_5604791	0.34567901	0.97728395	1.6330864	0.7604938	0.61530864	0.4148148	0.6202469
A5-S03__k141_3585265	2.9268448	1.6717557	2.5553436	2.4936388	1.75	3.696565	1.755089
KW1-S21__k141_4857755	3.0848684	2.9066722	4.4233866	6.740756	3.8993042	7.2645655	6.61741
KW1-S05__k141_6494925	0	0	0.74840474	0.12762079	0	0	0
KW1-S21__k141_9691980	1.0842208	1.7599225	1.4298161	1.8780252	0.94869316	0.36592448	1.0096805
KW1-S05__k141_2908495	1.750493	2.02071	3.280079	2.2327416	2.2623274	1.928994	2.9930966
A5-S04__k141_3831595	3.1426427	3.9677176	2.8603604	5.247748	4.3566065	4.045796	4.0803304
KW1-S05__k141_6872738	2.000438	1.8087591	2.51073	3.9033577	2.92146	3.4421167	2.8934307
KW1-S15__k141_1444466	1.8805139	1.9049251	3.4171307	4.5884366	2.7845824	5.9704494	2.945182
KW1-S21__k141_4528050	0.45052293	1.1263074	0.63716817	0.613033	0.4473049	0.9444891	2.008045
KW1-S15__k141_682140	3.2410655	5.76727	4.9569798	9.9757595	7.125515	8.582064	7.3327584
KW1-S08__k141_7781173	1.8960396	3.5066006	2.4909241	3.8630364	1.3638614	2.419967	1.9455446
KW1-S11__k141_7905645	0.9421265	2.447286	2.2611036	3.8313146	3.695379	3.454464	2.0726783
A5-S04__k141_6867359	2.0019822	3.9217048	1.655104	2.4558969	1.4806739	3.5659068	1.9276512
KW1-S11__k141_6462039	0.11570248	0.23140496	0.34710744	1.1206611	2.0057852	1.0115702	0.34710744
KW1-S08__k141_6028709	14.125303	15.94949	16.20204	41.00534	35.823215	25.612919	29.189898
KW1-S21__k141_7349979	0.71912694	1.9425617	0.95290065	3.5939116	1.9299253	3.055715	3.7064905
KW1-S15__k141_6700316	1.4777777	1.9183333	1.6311111	1.5555556	1.78	2.5133333	1.3027778
KW1-S05__k141_3583962	1.7286893	0.63978004	1.9321723	1.4078827	0.48395967	0.944088	0.76993585
A5-S04__k141_2171531	1.3287545	5.5888276	2.9395604	3.1108057	1.7747253	2.9340658	2.2637362
A5-S04__k141_1023328	3.0502732	1.4994535	1.9355191	5.0579233	2.5967214	4.1759562	2.2076502
KW1-S15__k141_1128800	1.5194175	1.7651699	2.4101942	3.2281554	2.1347086	4.360437	1.9660194
KW1-S05__k141_6092881	0.75721157	0.5048077	3.1971154	0.6730769	0.16826923	0.25240386	0.8719952
KW1-S08__k141_3257134	2.3235886	2.6514616	2.2101815	4.232359	3.1811996	3.7436996	2.872228
KW1-S15__k141_3115710	1.1369928	0.7498807	0.6157518	1.1661098	1.6329355	3.766587	1.2587112
KW1-S11__k141_8234360	0	0	0	0	3.859442	0	0.1502146
KW1-S05__k141_909659	0.6105528	0.21440536	2.0896146	0.3517588	0.8458961	0.12981574	0.7654941
KW1-S21__k141_10523762	2.2585204	1.9526185	0.8902743	2.1620948	0.93100584	0	2.6716542
KW1-S05__k141_8105687	2.6571758	2.358209	3.5823193	4.64225	3.7997704	5.051665	4.031458
A5-S03__k141_3922743	1.3534436	0.6620395	0.9188468	0.78109986	1.1809931	1.5194875	1.2221036
KW1-S08__k141_11466419	2.1191156	2.6590586	1.7831669	3.3762481	2.1269615	3.0727532	2.6223252
KW1-S11__k141_7203597	1.8640864	2.4851484	2.3942394	2.5112512	2.9126914	2.3879387	1.8847885
KW1-S05__k141_810134	22.788015	19.048874	20.19813	42.766655	26.198523	33.93181	27.435389
KW1-S11__k141_923095	0.4686753	1.2864658	0.7125777	0.6695361	2.0884745	1.1276901	1.5954089
KW1-S21__k141_7909445	3.959733	3.6001618	3.0918655	6.2573857	6.2391744	4.7456493	5.489478
KW1-S08__k141_8851916	1.1101158	1.2493467	0.9921613	4.2736096	0.69503546	1.6711459	1.3572228
KW1-S05__k141_6395548	2.2451804	2.0322068	3.0948062	1.4747108	0.67362213	0.8890905	1.4288955
KW1-S11__k141_4450566	10.886418	16.417368	11.791467	19.126202	13.39994	14.840144	17.863583
KW1-S15__k141_9778224	1.7157274	1.5412111	0.87931037	2.1808243	1.1724138	1.9213625	3.1900756
A5-S03__k141_5993061	2.9912024	0.684262	0.5034213	0.684262	1.3352884	0.47605082	0.9540567
KW1-S08__k141_6244953	1.2430279	0.5465411	0.9934806	4.1713147	1.4197755	2.770011	1.1561029
KW1-S05__k141_2618318	0.8910082	0.64373296	1.1485014	0.7547684	0.54223436	0.6444142	0.9741144
KW1-S11__k141_363001	30.065212	47.37357	66.45249	53.909237	36.157307	55.286663	59.152916
KW1-S11__k141_8843651	2.0143754	1.0062894	0.754717	1.6352202	2.6873314	1.8966757	2.1302786
KW1-S21__k141_299116	0.47457626	1.0169492	1.0847458	1.1501211	0.27118644	1.0169492	2.8208232
A5-S04__k141_5606170	2.4362357	3.0650835	1.1081795	3.2014072	3.4740546	2.4406333	2.3729112
KW1-S21__k141_6771535	7.018987	6.7293086	5.728335	10.338365	11.062804	9.780915	8.015579
A5-S04__k141_3839707	1.9784902	4.1075487	1.9184253	2.2723215	1.25	1.5645292	1.875
KW1-S21__k141_10621785	1.2914946	0.3715937	0.937242	1.014038	0.46242774	1.1560694	2.9479768
KW1-S15__k141_6566159	2.0813503	1.4832596	1.8594356	1.8053403	1.1523243	2.7891533	1.9947426
A5-S04__k141_9068374	3.9827976	3.388411	4.840652	3.0402896	2.0629244	1.5210502	2.6523314
A5-S04__k141_5134674	0.5048077	1.4489182	1.3323318	0.84134614	0	0.6730769	0.75721157
KW1-S15__k141_10203214	0.5185185	0.5185185	0.2898148	0.34814814	0.3037037	2.1296296	0.9388889
A5-S04__k141_36561	0	0.14957266	0.2991453	0.44871795	0.2991453	0.14957266	1.1698718
A5-S03__k141_7588688	9.475104	12.745861	9.340976	21.227276	20.04573	15.522896	16.73193
KW1-S21__k141_6963014	0.9825641	1.5005128	1.1292307	0.9097436	0.71794873	1.3958974	2.9630768
KW1-S08__k141_214557	2.0176234	1.4783485	1.1983887	3.9053373	4.0387716	2.796576	3.0231621
KW1-S21__k141_10135961	3.9628873	5.295686	5.3076024	3.3828495	6.6136484	7.1767597	7.0928545
KW1-S08__k141_3727014	1.2870873	1.423318	1.4145424	4.8190556	2.8666945	1.8399498	2.3731718
A5-S04__k141_4681345	8.899548	15.530112	14.251844	10.921209	5.3218284	7.9516783	9.180195
KW1-S15__k141_10278673	2.7273796	0.9851155	1.6153545	1.7547983	1.096749	2.9612222	2.3278496
KW1-S05__k141_1006508	0.4474074	0.7259259	1.0562963	0.13111112	0.31111112	0.53555554	0.5185185
A5-S03__k141_438482	2.123781	0.63015753	0.7351838	1.3165791	2.2850714	1.7621906	2.5971494
KW1-S21__k141_1838129	1.0656743	1.2530648	2.377408	2.0516636	1.6830122	1.5691769	3.2250438
KW1-S05__k141_8571077	1.4816256	4.03329	3.2075226	3.0263727	2.4340682	3.1474276	2.784263
KW1-S21__k141_3398358	0.7619048	0.45714286	1.222449	0.6244898	1.32517	0.56462586	1.9693878
KW1-S08__k141_7810863	1.2237732	1.1844332	1.5393401	1.9369712	0.5033841	1.6548223	1.5824873
KW1-S08__k141_4656751	1.5302035	1.1449139	1.0375587	3.0422535	2.19687	1.4804382	1.1208137
KW1-S15__k141_1274772	1.4191005	2.421729	2.4814544	1.1179906	2.6834111	3.2260513	2.7926402
KW1-S15__k141_9484289	0	0	0	0.15037593	0	0.7518797	0
A5-S04__k141_3409543	5.159548	12.685929	7.153685	7.5187044	7.347152	3.592546	8.430625
KW1-S08__k141_6895647	1.4766006	2.249127	1.7636787	4.240978	2.305937	3.3485448	3.4204888
KW1-S15__k141_6805590	0.6853582	1.0885625	0.5754339	1.05919	0.8460169	3.3208723	0.7258567
KW1-S11__k141_6976807	1.4166666	1.0206611	1.5172176	1.7252066	3.2692838	2.4593663	2.9889808
KW1-S11__k141_5173172	6.1252813	9.318127	8.784248	23.81816	13.574095	9.204363	12.8440895
A5-S04__k141_2115809	7.7829094	9.83569	8.469918	9.849749	5.7792964	8.566997	9.304744
A5-S04__k141_5110457	1.5950248	2.3024876	1.3930348	2.7751243	2.7761195	1.6716418	0.8358209
