,CE1,CE3,CE4,CE6,CE7,CE8,CE9,CE10,CE11,CE12,CE13,CE14,CE15,CE16,GH1,GH2,GH3,GH4,GH5,GH9,GH10,GH13,GH15,GH16,GH18,GH19,GH20,GH23,GH24,GH25,GH26,GH29,GH30,GH31,GH32,GH33,GH35,GH36,GH37,GH38,GH39,GH42,GH43,GH46,GH49,GH50,GH51,GH57,GH63,GH65,GH68,GH73,GH74,GH76,GH77,GH78,GH84,GH88,GH92,GH93,GH94,GH95,GH97,GH100,GH102,GH103,GH105,GH106,GH109,GH113,GH114,GH116,GH117,GH119,GH121,GH127,GH129,GH130,GH133,GH137,GH138,GH140,GH141,GH143,GH145,GH151,GH153,GH154,GH156,GH161,GH163,GH165,PL1,PL2,PL6,PL9,PL10,PL11,PL12,PL14,PL15,PL22,PL25,PL26,PL29,PL31,PL33,PL35
Methylomirabilota(2),0,0,1,0,1,0,0,1,1,0,0,1,0,0.5,0,0,0.5,0,0,0,0,0,1,0,0.5,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myxococcota(1),1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myxococcota_A(5),0.8,0,0.6,0,1,0,1,1,1,0,0.2,0.8,0,0,1,0,0.6,0,0.2,0,0.4,0.4,0.6,0.2,0,0.2,1,1,0,0,0,0.2,0,0,0,0,0.6,0.2,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0
Nitrospinota(2),1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
Nitrospirota(3),0.333333333,0,0.333333333,0,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,1,0,0,0,0,1,0.666666667,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0.333333333,0,0,1,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0
Planctomycetota(18),0.833333333,0.055555556,0.833333333,0,0.277777778,0,0.111111111,1,0.888888889,0,0,0.888888889,0.111111111,0,0,0.055555556,0.222222222,0,0,0,0.611111111,0.111111111,0.055555556,0,0,0,0.111111111,0.222222222,0,0,0,0.111111111,0,0,0.055555556,0.388888889,0.444444444,0,0,0.222222222,0.111111111,0,0,0,0,0,0,0.222222222,0,0,0,0,0.444444444,0.055555556,0.055555556,0,0.055555556,0.055555556,0,0,0,0,0.166666667,0,0.666666667,0,0.055555556,0,0.555555556,0.611111111,0.055555556,0,0,0,0,0.166666667,0.111111111,0.611111111,0.277777778,0.055555556,0,0.055555556,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0.055555556,0.055555556,0,0.277777778,0,0,0,0,0,0,0.055555556,0,0
Poribacteria(1),1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0
Proteobacteria(64),0.53125,0.15625,0.625,0,0.078125,0,0.109375,0.890625,0.890625,0.015625,0.0625,0.09375,0.015625,0,0,0.015625,0.8125,0,0.015625,0,0,0.109375,0.1875,0,0.015625,0.03125,0.09375,1,0.015625,0.03125,0,0,0.015625,0,0.03125,0.09375,0,0,0.0625,0,0.03125,0,0,0.015625,0,0.015625,0.046875,0.015625,0,0.046875,0.015625,0.53125,0.21875,0,0.09375,0.15625,0.03125,0.015625,0,0,0,0,0,0,0.375,0.875,0.03125,0,0.4375,0,0,0,0,0.09375,0,0,0,0.171875,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0.046875,0,0,0.015625,0,0,0,0.140625,0.015625,0,0.234375,0,0,0.015625,0.015625,0,0
SAR324(9),0,0.888888889,1,0,0.222222222,0,0,1,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777777778,0,0,0,0,1,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,1,0.888888889,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tectomicrobia(3),0.333333333,0,0.666666667,0,0.333333333,0,0,0.333333333,0,0,0,0.333333333,0,0,0,0,0.666666667,0,0,0,0,0,0.333333333,0,0.333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0.333333333,1,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermoproteota(6),0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobiota(1),1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
