Genome	A5-S04_BDME190026217-1a.sort Relative Abundance (%)
unmapped	77.81411
A5-S03_100_	0.105935305
A5-S03_104_	0.18275042
A5-S03_121_	0.05733495
A5-S03_147_	0.054732885
A5-S03_156_	0.06280779
A5-S03_163_	0.15062667
A5-S03_18_	0.09643676
A5-S03_23_	0.015961759
A5-S03_29_	1.2129465
A5-S03_30_	0.3425266
A5-S03_33_	0.040812336
A5-S03_47_	0.18670407
A5-S03_4_	0.041680936
A5-S03_68_	0.8537182
A5-S03_6_	0.11590193
A5-S03_71_	0.23134468
A5-S03_93_	0.074454345
A5-S04_105_	0.036425922
A5-S04_112_	0.06615419
A5-S04_114_	0.12763074
A5-S04_119_	0.16178773
A5-S04_125_	0.18947558
A5-S04_131_	0.065797314
A5-S04_136_	0.061494112
A5-S04_155_	0.11175478
A5-S04_187_	0.07622737
A5-S04_18_	0.0619297
A5-S04_200_	0.18371287
A5-S04_220_	0.059378307
A5-S04_226_	0.046587486
A5-S04_22_	0.044468638
A5-S04_30_	0.12983231
A5-S04_33_	0.072310664
A5-S04_70_	0.037980273
A5-S04_75_	0.04809405
A5-S04_77_	0.02114085
A5-S04_79_	0.28279114
A5-S04_85_	0.057696823
A5-S04_95_	0.07928339
KW1-S05_108_	0.07430006
KW1-S05_110_	0.05230904
KW1-S05_112_	0.07461676
KW1-S05_124_	0.070926346
KW1-S05_126_	0.08406803
KW1-S05_127_	0.17313688
KW1-S05_12_	0.08130541
KW1-S05_141_	0.018006066
KW1-S05_148_	0.04208144
KW1-S05_43_	0.0736531
KW1-S05_45_	0.60493916
KW1-S05_53_	0.04731694
KW1-S05_58_	0.04084571
KW1-S05_59_	0.036738936
KW1-S05_77_	0.037276287
KW1-S05_81_	0.11625309
KW1-S05_82_	0.35662517
KW1-S05_85_	0.089431494
KW1-S08_121_	0.39932916
KW1-S08_122_	0.2682022
KW1-S08_123_	2.2763388
KW1-S08_128_	0.17881094
KW1-S08_12_	0.10929632
KW1-S08_133_	0.051621776
KW1-S08_134_	0.08073832
KW1-S08_144_	0.038740337
KW1-S08_155_	1.1998616
KW1-S08_174_	0.02519449
KW1-S08_17_	0.056346957
KW1-S08_186_	0.14605938
KW1-S08_192_	0.055881552
KW1-S08_198_	0.09315807
KW1-S08_200_	0.082726575
KW1-S08_208_	0.04303702
KW1-S08_213_	0.058189955
KW1-S08_222_	0.02345866
KW1-S08_226_	0.039347515
KW1-S08_227_	0.19689107
KW1-S08_229_	0.015605278
KW1-S08_233_	0.036400255
KW1-S08_236_	0.07257319
KW1-S08_237_	0.046312746
KW1-S08_242_	0.034223806
KW1-S08_24_	0.027540721
KW1-S08_251_	0.06586204
KW1-S08_268_	0.17364624
KW1-S08_280_	0.07587034
KW1-S08_28_	0.032320116
KW1-S08_30_	0.061762027
KW1-S08_46_	0.037908625
KW1-S08_62_	0.039753776
KW1-S08_89_	0.053939454
KW1-S11_103_	0.049687438
KW1-S11_109_	0.040126737
KW1-S11_120_	0.07306013
KW1-S11_124_	0.034166973
KW1-S11_125_	0.06530128
KW1-S11_145_	0.08725849
KW1-S11_146_	0.40195253
KW1-S11_156_	0.06430144
KW1-S11_157_	0.029096901
KW1-S11_15_	0.016968818
KW1-S11_163_	0.07809569
KW1-S11_176_	0.112530164
KW1-S11_179_	0.05188237
KW1-S11_180_	0.06775017
KW1-S11_18_	0.84210724
KW1-S11_190_	0.10120905
KW1-S11_24_	0.073615365
KW1-S11_42_	0.052393932
KW1-S11_65_	0.027931416
KW1-S11_81_	0.085133344
KW1-S11_87_	0.078274146
KW1-S11_89_	0.02495483
KW1-S11_99_	0.038766894
KW1-S15_112_	0.030200334
KW1-S15_114_	0.041650016
KW1-S15_115_	0.05209586
KW1-S15_117_	0.017994598
KW1-S15_126_	0.14665882
KW1-S15_132_	0.06254516
KW1-S15_135_	0.08072292
KW1-S15_137_	0.06737622
KW1-S15_144_	0.07942217
KW1-S15_149_	0.06719559
KW1-S15_14_	0.052480187
KW1-S15_162_	0.04131765
KW1-S15_16_	0.07660856
KW1-S15_183_	0.02637563
KW1-S15_187_	0.12759066
KW1-S15_188_	0.15076332
KW1-S15_197_	0.16662438
KW1-S15_200_	0.047944847
KW1-S15_211_	0.046845682
KW1-S15_215_	0.04349413
KW1-S15_218_	0.07733209
KW1-S15_227_	0.025755621
KW1-S15_234_	0.03992544
KW1-S15_23_	0.06620706
KW1-S15_262_	0.2491323
KW1-S15_266_	0.04184633
KW1-S15_267_	0.052194104
KW1-S15_279_	0.05760511
KW1-S15_293_	0.6367653
KW1-S15_2_	0.035606444
KW1-S15_306_	0.051586032
KW1-S15_31_	0.07642506
KW1-S15_41_	0.062449604
KW1-S15_72_	0.07193302
KW1-S15_75_	0.068971954
KW1-S15_8_	0.11512997
KW1-S15_96_	0.06034084
KW1-S15_97_	0.0319685
KW1-S15_98_	0.08191209
KW1-S21_104_	0.046489373
KW1-S21_115_	0.10962315
KW1-S21_123_	0.052578226
KW1-S21_138_	0.12805827
KW1-S21_141_	0.22304234
KW1-S21_144_	0.018213086
KW1-S21_160_	0.024368709
KW1-S21_168_	0.034138393
KW1-S21_174_	0.07437136
KW1-S21_189_	0.045392726
KW1-S21_193_	0.22719496
KW1-S21_196_	0.16804537
KW1-S21_197_	0.09097424
KW1-S21_231_	0.0557214
KW1-S21_238_	0.07413766
