Genome	KW1-S21_BDME190026222-1a.sort Relative Abundance (%)
unmapped	78.10703
A5-S03_100_	0.10420515
A5-S03_104_	0.16317241
A5-S03_121_	0.061672386
A5-S03_147_	0.054148816
A5-S03_156_	0.0647213
A5-S03_163_	0.13482462
A5-S03_18_	0.09903328
A5-S03_23_	0.013470369
A5-S03_29_	1.1614099
A5-S03_30_	0.41110376
A5-S03_33_	0.0448171
A5-S03_47_	0.22102334
A5-S03_4_	0.04638405
A5-S03_68_	0.85673684
A5-S03_6_	0.11160513
A5-S03_71_	0.2200612
A5-S03_93_	0.08597313
A5-S04_105_	0.038611505
A5-S04_112_	0.057846483
A5-S04_114_	0.13581002
A5-S04_119_	0.13834278
A5-S04_125_	0.15803123
A5-S04_131_	0.06738706
A5-S04_136_	0.07455353
A5-S04_155_	0.10795255
A5-S04_187_	0.07267858
A5-S04_18_	0.062401988
A5-S04_200_	0.2101544
A5-S04_220_	0.053917628
A5-S04_226_	0.04447263
A5-S04_22_	0.04502492
A5-S04_30_	0.15637895
A5-S04_33_	0.07075392
A5-S04_70_	0.021642832
A5-S04_75_	0.04196301
A5-S04_77_	0.014425189
A5-S04_79_	0.29652342
A5-S04_85_	0.0585779
A5-S04_95_	0.0942659
KW1-S05_108_	0.07290411
KW1-S05_110_	0.040971532
KW1-S05_112_	0.076425955
KW1-S05_124_	0.06825661
KW1-S05_126_	0.09177451
KW1-S05_127_	0.1551861
KW1-S05_12_	0.07652603
KW1-S05_141_	0.015627595
KW1-S05_148_	0.047212124
KW1-S05_43_	0.067512125
KW1-S05_45_	0.6635616
KW1-S05_53_	0.040380042
KW1-S05_58_	0.036485806
KW1-S05_59_	0.033609755
KW1-S05_77_	0.041382387
KW1-S05_81_	0.17481454
KW1-S05_82_	0.30882347
KW1-S05_85_	0.092556484
KW1-S08_121_	0.2896017
KW1-S08_122_	0.24497667
KW1-S08_123_	1.7742407
KW1-S08_128_	0.21250887
KW1-S08_12_	0.11402523
KW1-S08_133_	0.073040895
KW1-S08_134_	0.10495204
KW1-S08_144_	0.030342251
KW1-S08_155_	1.1559037
KW1-S08_174_	0.021900792
KW1-S08_17_	0.065012425
KW1-S08_186_	0.14524561
KW1-S08_192_	0.055353638
KW1-S08_198_	0.09463176
KW1-S08_200_	0.0914162
KW1-S08_208_	0.03992133
KW1-S08_213_	0.04992219
KW1-S08_222_	0.024552923
KW1-S08_226_	0.045840215
KW1-S08_227_	0.18003374
KW1-S08_229_	0.014017593
KW1-S08_233_	0.03801959
KW1-S08_236_	0.08955261
KW1-S08_237_	0.0546225
KW1-S08_242_	0.023119923
KW1-S08_24_	0.030116215
KW1-S08_251_	0.062035408
KW1-S08_268_	0.14817236
KW1-S08_280_	0.06848823
KW1-S08_28_	0.03818805
KW1-S08_30_	0.08095482
KW1-S08_46_	0.040900942
KW1-S08_62_	0.04539703
KW1-S08_89_	0.06378129
KW1-S11_103_	0.048576575
KW1-S11_109_	0.047055475
KW1-S11_120_	0.09471878
KW1-S11_124_	0.041304234
KW1-S11_125_	0.06421044
KW1-S11_145_	0.102707624
KW1-S11_146_	0.43413237
KW1-S11_156_	0.07006757
KW1-S11_157_	0.029004334
KW1-S11_15_	0.015269246
KW1-S11_163_	0.08655335
KW1-S11_176_	0.114318274
KW1-S11_179_	0.0562748
KW1-S11_180_	0.08079034
KW1-S11_18_	0.8603958
KW1-S11_190_	0.095988825
KW1-S11_24_	0.07125982
KW1-S11_42_	0.052939735
KW1-S11_65_	0.02803843
KW1-S11_81_	0.08171458
KW1-S11_87_	0.09118849
KW1-S11_89_	0.02257404
KW1-S11_99_	0.046079196
KW1-S15_112_	0.030358281
KW1-S15_114_	0.038154766
KW1-S15_115_	0.050359074
KW1-S15_117_	0.016111974
KW1-S15_126_	0.132846
KW1-S15_132_	0.07360076
KW1-S15_135_	0.072781056
KW1-S15_137_	0.0759373
KW1-S15_144_	0.10820789
KW1-S15_149_	0.071777165
KW1-S15_14_	0.061485566
KW1-S15_162_	0.039559264
KW1-S15_16_	0.07529575
KW1-S15_183_	0.025285514
KW1-S15_187_	0.1308878
KW1-S15_188_	0.12430534
KW1-S15_197_	0.15878145
KW1-S15_200_	0.058594223
KW1-S15_211_	0.07054921
KW1-S15_215_	0.047289092
KW1-S15_218_	0.066038325
KW1-S15_227_	0.025857504
KW1-S15_234_	0.046378016
KW1-S15_23_	0.051043786
KW1-S15_262_	0.2363978
KW1-S15_266_	0.049186468
KW1-S15_267_	0.047276717
KW1-S15_279_	0.055935934
KW1-S15_293_	0.5472167
KW1-S15_2_	0.05008818
KW1-S15_306_	0.065901235
KW1-S15_31_	0.084609725
KW1-S15_41_	0.056490645
KW1-S15_72_	0.069141276
KW1-S15_75_	0.06822428
KW1-S15_8_	0.118923396
KW1-S15_96_	0.04904477
KW1-S15_97_	0.028862422
KW1-S15_98_	0.087956
KW1-S21_104_	0.06079145
KW1-S21_115_	0.12179733
KW1-S21_123_	0.059998117
KW1-S21_138_	0.13454585
KW1-S21_141_	0.25208566
KW1-S21_144_	0.020338612
KW1-S21_160_	0.025618322
KW1-S21_168_	0.046299238
KW1-S21_174_	0.08421362
KW1-S21_189_	0.05614829
KW1-S21_193_	0.2519424
KW1-S21_196_	0.16441076
KW1-S21_197_	0.100399144
KW1-S21_231_	0.05778362
KW1-S21_238_	0.07499702
KW1-S21_242_	0.07485571
KW1-S21_260_	0.053131264
KW1-S21_271_	0.050190505
KW1-S21_27_	0.051386807
KW1-S21_28_	0.1975769
KW1-S21_32_	0.11823426
KW1-S21_52_	0.029252578
KW1-S21_6_	0.12519762
KW1-S21_73_	0.042807166
KW1-S21_82_	0.05450228
KW1-S21_85_	0.091671236
