Genome	KW1-S08_BDME190026223-1b.sort Relative Abundance (%)
unmapped	78.68289
A5-S03_100_	0.11778318
A5-S03_104_	0.14644337
A5-S03_121_	0.06329938
A5-S03_147_	0.059597954
A5-S03_156_	0.06276926
A5-S03_163_	0.12462768
A5-S03_18_	0.0886498
A5-S03_23_	0.013604733
A5-S03_29_	1.074432
A5-S03_30_	0.37545884
A5-S03_33_	0.041931774
A5-S03_47_	0.26871854
A5-S03_4_	0.063777246
A5-S03_68_	0.80525947
A5-S03_6_	0.107946225
A5-S03_71_	0.10207765
A5-S03_93_	0.091477126
A5-S04_105_	0.036007866
A5-S04_112_	0.04858788
A5-S04_114_	0.13272169
A5-S04_119_	0.1222524
A5-S04_125_	0.17545606
A5-S04_131_	0.06853669
A5-S04_136_	0.06902171
A5-S04_155_	0.12015619
A5-S04_187_	0.07229572
A5-S04_18_	0.0788792
A5-S04_200_	0.2512758
A5-S04_220_	0.055226404
A5-S04_226_	0.06525592
A5-S04_22_	0.063447006
A5-S04_30_	0.14696372
A5-S04_33_	0.07038022
A5-S04_70_	0.021968339
A5-S04_75_	0.047193106
A5-S04_77_	0.014371547
A5-S04_79_	0.26606065
A5-S04_85_	0.053321086
A5-S04_95_	0.089471675
KW1-S05_108_	0.054177493
KW1-S05_110_	0.047984187
KW1-S05_112_	0.073522866
KW1-S05_124_	0.0576924
KW1-S05_126_	0.09266245
KW1-S05_127_	0.13920568
KW1-S05_12_	0.08579436
KW1-S05_141_	0.015544249
KW1-S05_148_	0.06637083
KW1-S05_43_	0.05599197
KW1-S05_45_	0.7662683
KW1-S05_53_	0.036623884
KW1-S05_58_	0.036443774
KW1-S05_59_	0.039181747
KW1-S05_77_	0.038646754
KW1-S05_81_	0.15520322
KW1-S05_82_	0.25643417
KW1-S05_85_	0.09089874
KW1-S08_121_	0.25764638
KW1-S08_122_	0.24728201
KW1-S08_123_	1.5561137
KW1-S08_128_	0.26375896
KW1-S08_12_	0.11956582
KW1-S08_133_	0.09848896
KW1-S08_134_	0.10309952
KW1-S08_144_	0.04234832
KW1-S08_155_	1.070415
KW1-S08_174_	0.024411513
KW1-S08_17_	0.067673944
KW1-S08_186_	0.15841153
KW1-S08_192_	0.059823558
KW1-S08_198_	0.09471089
KW1-S08_200_	0.094907515
KW1-S08_208_	0.049083605
KW1-S08_213_	0.06278303
KW1-S08_222_	0.029578602
KW1-S08_226_	0.068528645
KW1-S08_227_	0.23356754
KW1-S08_229_	0.018235506
KW1-S08_233_	0.041588094
