Genome	KW1-S05_BDME190026216-1a.sort Relative Abundance (%)
unmapped	80.17973
A5-S03_100_	0.0940812
A5-S03_104_	0.16184431
A5-S03_121_	0.051234305
A5-S03_147_	0.05181344
A5-S03_156_	0.054338094
A5-S03_163_	0.14431752
A5-S03_18_	0.082958736
A5-S03_23_	0.012409341
A5-S03_29_	0.9596786
A5-S03_30_	0.27862006
A5-S03_33_	0.05874689
A5-S03_47_	0.18224359
A5-S03_4_	0.043130398
A5-S03_68_	0.71073127
A5-S03_6_	0.103486426
A5-S03_71_	0.17273314
A5-S03_93_	0.058324214
A5-S04_105_	0.04937775
A5-S04_112_	0.0404381
A5-S04_114_	0.11549722
A5-S04_119_	0.13948978
A5-S04_125_	0.16765869
A5-S04_131_	0.055384804
A5-S04_136_	0.062100064
A5-S04_155_	0.09686071
A5-S04_187_	0.07601515
A5-S04_18_	0.043282352
A5-S04_200_	0.16951294
A5-S04_220_	0.058252227
A5-S04_226_	0.039988473
A5-S04_22_	0.042596634
A5-S04_30_	0.16724095
A5-S04_33_	0.057644814
A5-S04_70_	0.026787305
A5-S04_75_	0.042165138
A5-S04_77_	0.013417601
A5-S04_79_	0.23017056
A5-S04_85_	0.041820504
A5-S04_95_	0.082674995
KW1-S05_108_	0.08592332
KW1-S05_110_	0.052276865
KW1-S05_112_	0.07493323
KW1-S05_124_	0.058045365
KW1-S05_126_	0.077417344
KW1-S05_127_	0.15645343
KW1-S05_12_	0.07608363
KW1-S05_141_	0.018468542
KW1-S05_148_	0.047634326
KW1-S05_43_	0.062755644
KW1-S05_45_	0.5256331
KW1-S05_53_	0.05458188
KW1-S05_58_	0.041487418
KW1-S05_59_	0.03953512
KW1-S05_77_	0.058105823
KW1-S05_81_	0.11433149
KW1-S05_82_	0.26770627
KW1-S05_85_	0.07984538
KW1-S08_121_	0.39905062
KW1-S08_122_	0.21746029
KW1-S08_123_	2.234791
KW1-S08_128_	0.17080435
KW1-S08_12_	0.091798626
KW1-S08_133_	0.049782164
KW1-S08_134_	0.08075957
KW1-S08_144_	0.02552599
KW1-S08_155_	0.9418821
KW1-S08_174_	0.0212082
KW1-S08_17_	0.050428726
KW1-S08_186_	0.12563063
KW1-S08_192_	0.051354416
KW1-S08_198_	0.07398244
KW1-S08_200_	0.07370477
KW1-S08_208_	0.046453856
KW1-S08_213_	0.049554825
KW1-S08_222_	0.021097377
KW1-S08_226_	0.042369872
KW1-S08_227_	0.19039054
KW1-S08_229_	0.012311039
KW1-S08_233_	0.033333592
KW1-S08_236_	0.074304946
KW1-S08_237_	0.03842387
KW1-S08_242_	0.028217396
KW1-S08_24_	0.024829386
KW1-S08_251_	0.058560643
KW1-S08_268_	0.14447981
KW1-S08_280_	0.060177166
KW1-S08_28_	0.032292143
KW1-S08_30_	0.06616298
KW1-S08_46_	0.036429707
KW1-S08_62_	0.058021687
KW1-S08_89_	0.055115886
KW1-S11_103_	0.040429678
KW1-S11_109_	0.04285474
KW1-S11_120_	0.06391693
KW1-S11_124_	0.049777802
KW1-S11_125_	0.06618824
KW1-S11_145_	0.0733103
KW1-S11_146_	0.366464
KW1-S11_156_	0.047905684
KW1-S11_157_	0.03262684
KW1-S11_15_	0.013537209
KW1-S11_163_	0.06953073
KW1-S11_176_	0.100462966
KW1-S11_179_	0.04880094
KW1-S11_180_	0.052857846
KW1-S11_18_	0.704818
KW1-S11_190_	0.090685554
KW1-S11_24_	0.05483124
