narB/nasAB,SAR324,9
nirK/nirS,Planctomycetota,5
nirK/nirS,Desulfobacterota_B,5
nirK/nirS,Methylomirabilota,2
nirK/nirS,Desulfobacterota_D,7
nirK/nirS,Acidobacteriota,4
nirK/nirS,Nitrospirota,1
nirK/nirS,Chloroflexota,5
nirK/nirS,Verrucomicrobiota,1
nirK/nirS,Bacteroidota,6
nirK/nirS,Nitrospinota,1
nirK/nirS,Gemmatimonadota,5
nirK/nirS,Thermoproteota,2
nirK/nirS,Tectomicrobia,1
nirK/nirS,KSB1,1
nirK/nirS,Krumholzibacteriota,1
nirK/nirS,Actinobacteriota,4
nirK/nirS,Proteobacteria,55
nirK/nirS,SAR324,8
nirBD/nrfA,Planctomycetota,15
nirBD/nrfA,Desulfobacterota_B,5
nirBD/nrfA,Myxococcota,1
nirBD/nrfA,Latescibacterota,1
nirBD/nrfA,Methylomirabilota,2
nirBD/nrfA,Desulfobacterota_D,7
nirBD/nrfA,Acidobacteriota,11
nirBD/nrfA,Myxococcota_A,4
nirBD/nrfA,Chloroflexota,7
nirBD/nrfA,Verrucomicrobiota,1
nirBD/nrfA,Bacteroidota,5
nirBD/nrfA,Nitrospinota,1
nirBD/nrfA,Gemmatimonadota,4
nirBD/nrfA,Thermoproteota,4
nirBD/nrfA,Tectomicrobia,2
nirBD/nrfA,KSB1,1
nirBD/nrfA,Krumholzibacteriota,1
nirBD/nrfA,Actinobacteriota,8
nirBD/nrfA,Proteobacteria,53
nirBD/nrfA,Nitrospirota,3
nirBD/nrfA,Poribacteria,1
soeAC,Planctomycetota,1
soeAC,Desulfobacterota_B,4
soeAC,Proteobacteria,15
soeAC,Thermoproteota,3
soeAC,Acidobacteriota,1
soxZY,Proteobacteria,8
nifH,SAR324,9
dsrAB,Proteobacteria,7
sseA,Planctomycetota,6
sseA,Desulfobacterota_B,6
sseA,Myxococcota,1
sseA,Gemmatimonadota,1
sseA,Methylomirabilota,2
sseA,Desulfobacterota_D,7
sseA,Acidobacteriota,2
sseA,Nitrospirota,2
sseA,Chloroflexota,6
sseA,Bacteroidota,2
sseA,Myxococcota_A,2
sseA,Thermoproteota,3
sseA,Tectomicrobia,3
sseA,Krumholzibacteriota,1
sseA,Actinobacteriota,8
sseA,Proteobacteria,43
sseA,SAR324,9
sseA,Poribacteria,1
hao,Planctomycetota,5
hao,Desulfobacterota_B,4
hao,Acidobacteriota,2
hao,Myxococcota_A,1
hao,Poribacteria,1
hao,Myxococcota,1
glpE,Desulfobacterota_B,6
glpE,KSB1,1
glpE,Bacteroidota,8
glpE,Poribacteria,1
glpE,SAR324,9
glpE,Latescibacterota,1
glpE,Acidobacteriota,16
glpE,Myxococcota_A,5
glpE,Verrucomicrobiota,1
glpE,Thermoproteota,6
glpE,Krumholzibacteriota,1
glpE,Proteobacteria,64
glpE,Planctomycetota,17
