phylum,variable,value
Proteobacteria,sat,1
Planctomycetota,sat,1
Thermoproteota,sat,1
Proteobacteria,sat,1
Proteobacteria,sat,1
Proteobacteria,sat,1
Planctomycetota,sat,1
Proteobacteria,sat,1
Proteobacteria,sat,1
Bacteroidota,sat,1
Planctomycetota,sat,1
Thermoproteota,sat,1
Planctomycetota,sat,1
Proteobacteria,sat,1
Proteobacteria,sat,1
Acidobacteriota,sat,1
Proteobacteria,sat,1
Myxococcota_A,sat,1
Planctomycetota,sat,1
Bacteroidota,sat,1
Proteobacteria,sat,1
Proteobacteria,sat,1
Thermoproteota,sat,1
Proteobacteria,sat,1
Planctomycetota,sat,1
Proteobacteria,sat,1
Proteobacteria,sat,1
Desulfobacterota_B,sat,1
Planctomycetota,sat,1
Desulfobacterota_B,sat,1
Proteobacteria,sat,1
Gemmatimonadota,sat,1
Gemmatimonadota,sat,1
Bacteroidota,sat,1
Proteobacteria,sat,1
Methylomirabilota,sat,1
Proteobacteria,sat,1
Proteobacteria,sat,1
Latescibacterota,sat,1
Krumholzibacteriota,sat,1
Planctomycetota,sat,1
Proteobacteria,sat,1
Acidobacteriota,sat,1
Methylomirabilota,sat,1
Myxococcota_A,sat,1
Proteobacteria,sat,1
Proteobacteria,sat,1
Planctomycetota,sat,1
Thermoproteota,sat,1
Desulfobacterota_B,sat,1
Planctomycetota,sat,1
Tectomicrobia,sat,1
Myxococcota_A,sat,1
Acidobacteriota,sat,1
Myxococcota_A,sat,1
Verrucomicrobiota,sat,1
Proteobacteria,sat,1
Myxococcota_A,sat,1
Poribacteria,sat,1
Proteobacteria,sat,1
Acidobacteriota,sat,1
Acidobacteriota,sat,1
Desulfobacterota_B,sat,1
Actinobacteriota,sat,1
Tectomicrobia,sat,1
Desulfobacterota_B,sat,1
Proteobacteria,sat,1
Proteobacteria,sat,1
Desulfobacterota_B,sat,1
Proteobacteria,sat,1
Thermoproteota,sat,1
Proteobacteria,sat,1
Actinobacteriota,sir,1
Proteobacteria,sir,1
Proteobacteria,sir,1
Thermoproteota,sir,1
Desulfobacterota_D,sir,1
Desulfobacterota_D,sir,1
Proteobacteria,sir,1
Proteobacteria,sir,1
Proteobacteria,sir,1
Proteobacteria,sir,1
Proteobacteria,sir,1
Desulfobacterota_D,sir,1
Proteobacteria,sir,1
Methylomirabilota,sir,1
Proteobacteria,sir,1
Proteobacteria,sir,1
Methylomirabilota,sir,1
Myxococcota_A,sir,1
Proteobacteria,sir,1
Proteobacteria,sir,1
Proteobacteria,sir,1
Proteobacteria,sir,1
Proteobacteria,sir,1
Proteobacteria,dsrC/dsrMK,1
Proteobacteria,dsrC/dsrMK,1
Proteobacteria,dsrC/dsrMK,1
Proteobacteria,dsrC/dsrMK,1
Proteobacteria,dsrC/dsrMK,1
Proteobacteria,dsrC/dsrMK,1
Proteobacteria,dsrC/dsrMK,1
Latescibacterota,dsrC/dsrMK,1
Thermoproteota,amo-pmo,1
Proteobacteria,amo-pmo,1
Proteobacteria,amo-pmo,1
Proteobacteria,amo-pmo,1
Thermoproteota,amo-pmo,1
Proteobacteria,amo-pmo,1
Desulfobacterota_D,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Planctomycetota,aprAB,1
Chloroflexota,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
Proteobacteria,aprAB,1
