phylum,variable,value
Chloroflexota,nirA,1
Proteobacteria,nirA,1
Verrucomicrobiota,nirA,1
Proteobacteria,nirA,1
Poribacteria,nirA,1
Acidobacteriota,nirA,1
Acidobacteriota,nirA,1
Desulfobacterota_B,nirA,1
Chloroflexota,nirA,1
Proteobacteria,nirA,1
Desulfobacterota_B,nirA,1
Proteobacteria,nirA,1
SAR324,nirA,1
Desulfobacterota_D,narB/nasAB,1
Actinobacteriota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Chloroflexota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Actinobacteriota,narB/nasAB,1
KSB1,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
SAR324,narB/nasAB,1
Planctomycetota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
SAR324,narB/nasAB,1
Gemmatimonadota,narB/nasAB,1
Planctomycetota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Planctomycetota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Desulfobacterota_D,narB/nasAB,1
SAR324,narB/nasAB,1
Planctomycetota,narB/nasAB,1
Planctomycetota,narB/nasAB,1
Chloroflexota,narB/nasAB,1
Desulfobacterota_D,narB/nasAB,1
Acidobacteriota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Acidobacteriota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Myxococcota_A,narB/nasAB,1
Planctomycetota,narB/nasAB,1
Bacteroidota,narB/nasAB,1
Acidobacteriota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Desulfobacterota_D,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Actinobacteriota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Planctomycetota,narB/nasAB,1
Actinobacteriota,narB/nasAB,1
Desulfobacterota_D,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Acidobacteriota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Desulfobacterota_B,narB/nasAB,1
Planctomycetota,narB/nasAB,1
Desulfobacterota_B,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Gemmatimonadota,narB/nasAB,1
Gemmatimonadota,narB/nasAB,1
Bacteroidota,narB/nasAB,1
Planctomycetota,narB/nasAB,1
SAR324,narB/nasAB,1
SAR324,narB/nasAB,1
Desulfobacterota_D,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Methylomirabilota,narB/nasAB,1
Acidobacteriota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Actinobacteriota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Planctomycetota,narB/nasAB,1
Latescibacterota,narB/nasAB,1
Krumholzibacteriota,narB/nasAB,1
Planctomycetota,narB/nasAB,1
SAR324,narB/nasAB,1
Acidobacteriota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Bacteroidota,narB/nasAB,1
Myxococcota,narB/nasAB,1
Desulfobacterota_D,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Nitrospirota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Acidobacteriota,narB/nasAB,1
Myxococcota_A,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Acidobacteriota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Planctomycetota,narB/nasAB,1
Acidobacteriota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Desulfobacterota_B,narB/nasAB,1
Planctomycetota,narB/nasAB,1
SAR324,narB/nasAB,1
Planctomycetota,narB/nasAB,1
Tectomicrobia,narB/nasAB,1
Myxococcota_A,narB/nasAB,1
Acidobacteriota,narB/nasAB,1
Actinobacteriota,narB/nasAB,1
SAR324,narB/nasAB,1
Chloroflexota,narB/nasAB,1
Myxococcota_A,narB/nasAB,1
Chloroflexota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Verrucomicrobiota,narB/nasAB,1
Actinobacteriota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Myxococcota_A,narB/nasAB,1
Poribacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Acidobacteriota,narB/nasAB,1
Gemmatimonadota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Desulfobacterota_B,narB/nasAB,1
Tectomicrobia,narB/nasAB,1
Desulfobacterota_B,narB/nasAB,1
Tectomicrobia,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Chloroflexota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Acidobacteriota,narB/nasAB,1
Desulfobacterota_B,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Chloroflexota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
Actinobacteriota,narB/nasAB,1
Proteobacteria,narB/nasAB,1
SAR324,narB/nasAB,1
Gemmatimonadota,narB/nasAB,1
Desulfobacterota_D,nirK/nirS,1
Actinobacteriota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Chloroflexota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Actinobacteriota,nirK/nirS,1
Thermoproteota,nirK/nirS,1
KSB1,nirK/nirS,1
Proteobacteria,nirK/nirS,1
SAR324,nirK/nirS,1
Planctomycetota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
SAR324,nirK/nirS,1
Gemmatimonadota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Desulfobacterota_D,nirK/nirS,1
SAR324,nirK/nirS,1
Bacteroidota,nirK/nirS,1
Planctomycetota,nirK/nirS,1
Desulfobacterota_D,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Bacteroidota,nirK/nirS,1
Acidobacteriota,nirK/nirS,1
Chloroflexota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Desulfobacterota_D,nirK/nirS,1
Thermoproteota,nirK/nirS,1
Actinobacteriota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Planctomycetota,nirK/nirS,1
Desulfobacterota_D,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Desulfobacterota_B,nirK/nirS,1
Planctomycetota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Gemmatimonadota,nirK/nirS,1
Gemmatimonadota,nirK/nirS,1
Bacteroidota,nirK/nirS,1
SAR324,nirK/nirS,1
SAR324,nirK/nirS,1
Nitrospirota,nirK/nirS,1
Desulfobacterota_D,nirK/nirS,1
Methylomirabilota,nirK/nirS,1
Acidobacteriota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Krumholzibacteriota,nirK/nirS,1
SAR324,nirK/nirS,1
Acidobacteriota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Bacteroidota,nirK/nirS,1
Desulfobacterota_D,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Nitrospinota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Methylomirabilota,nirK/nirS,1
Bacteroidota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Desulfobacterota_B,nirK/nirS,1
SAR324,nirK/nirS,1
Planctomycetota,nirK/nirS,1
Actinobacteriota,nirK/nirS,1
SAR324,nirK/nirS,1
Chloroflexota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Verrucomicrobiota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Bacteroidota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Gemmatimonadota,nirK/nirS,1
Acidobacteriota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Desulfobacterota_B,nirK/nirS,1
Desulfobacterota_B,nirK/nirS,1
Tectomicrobia,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Chloroflexota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Desulfobacterota_B,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Chloroflexota,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Proteobacteria,nirK/nirS,1
Gemmatimonadota,nirK/nirS,1
Desulfobacterota_D,nirBD/nrfA,1
Acidobacteriota,nirBD/nrfA,1
Actinobacteriota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Planctomycetota,nirBD/nrfA,1
Chloroflexota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Actinobacteriota,nirBD/nrfA,1
Thermoproteota,nirBD/nrfA,1
KSB1,nirBD/nrfA,1
Nitrospinota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Planctomycetota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Thermoproteota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Planctomycetota,nirBD/nrfA,1
Gemmatimonadota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Planctomycetota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Desulfobacterota_D,nirBD/nrfA,1
Bacteroidota,nirBD/nrfA,1
Planctomycetota,nirBD/nrfA,1
Chloroflexota,nirBD/nrfA,1
Desulfobacterota_D,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Acidobacteriota,nirBD/nrfA,1
Gemmatimonadota,nirBD/nrfA,1
Acidobacteriota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Myxococcota_A,nirBD/nrfA,1
Planctomycetota,nirBD/nrfA,1
Bacteroidota,nirBD/nrfA,1
Acidobacteriota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Desulfobacterota_D,nirBD/nrfA,1
Nitrospirota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Thermoproteota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Planctomycetota,nirBD/nrfA,1
Actinobacteriota,nirBD/nrfA,1
Desulfobacterota_D,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Acidobacteriota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Desulfobacterota_B,nirBD/nrfA,1
Desulfobacterota_B,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Gemmatimonadota,nirBD/nrfA,1
Bacteroidota,nirBD/nrfA,1
Bacteroidota,nirBD/nrfA,1
Planctomycetota,nirBD/nrfA,1
Nitrospirota,nirBD/nrfA,1
Desulfobacterota_D,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Methylomirabilota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Actinobacteriota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Planctomycetota,nirBD/nrfA,1
Latescibacterota,nirBD/nrfA,1
Krumholzibacteriota,nirBD/nrfA,1
Planctomycetota,nirBD/nrfA,1
Acidobacteriota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Myxococcota,nirBD/nrfA,1
Desulfobacterota_D,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Nitrospirota,nirBD/nrfA,1
Planctomycetota,nirBD/nrfA,1
Acidobacteriota,nirBD/nrfA,1
Methylomirabilota,nirBD/nrfA,1
Myxococcota_A,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Acidobacteriota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Planctomycetota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Desulfobacterota_B,nirBD/nrfA,1
Planctomycetota,nirBD/nrfA,1
Planctomycetota,nirBD/nrfA,1
Chloroflexota,nirBD/nrfA,1
Myxococcota_A,nirBD/nrfA,1
Acidobacteriota,nirBD/nrfA,1
Actinobacteriota,nirBD/nrfA,1
Chloroflexota,nirBD/nrfA,1
Bacteroidota,nirBD/nrfA,1
Myxococcota_A,nirBD/nrfA,1
Chloroflexota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Verrucomicrobiota,nirBD/nrfA,1
Actinobacteriota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Poribacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Gemmatimonadota,nirBD/nrfA,1
Acidobacteriota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Actinobacteriota,nirBD/nrfA,1
Tectomicrobia,nirBD/nrfA,1
Desulfobacterota_B,nirBD/nrfA,1
Tectomicrobia,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Chloroflexota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Acidobacteriota,nirBD/nrfA,1
Desulfobacterota_B,nirBD/nrfA,1
Thermoproteota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Chloroflexota,nirBD/nrfA,1
Planctomycetota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Actinobacteriota,nirBD/nrfA,1
Proteobacteria,nirBD/nrfA,1
Desulfobacterota_D,TtrAB,1
Acidobacteriota,TtrAB,1
Proteobacteria,TtrAB,1
Proteobacteria,TtrAB,1
Planctomycetota,TtrAB,1
Chloroflexota,TtrAB,1
Proteobacteria,TtrAB,1
KSB1,TtrAB,1
Proteobacteria,TtrAB,1
SAR324,TtrAB,1
Planctomycetota,TtrAB,1
Proteobacteria,TtrAB,1
Proteobacteria,TtrAB,1
Proteobacteria,TtrAB,1
Proteobacteria,TtrAB,1
SAR324,TtrAB,1
Gemmatimonadota,TtrAB,1
Planctomycetota,TtrAB,1
Proteobacteria,TtrAB,1
Desulfobacterota_D,TtrAB,1
SAR324,TtrAB,1
Bacteroidota,TtrAB,1
Planctomycetota,TtrAB,1
Desulfobacterota_D,TtrAB,1
Acidobacteriota,TtrAB,1
Proteobacteria,TtrAB,1
Acidobacteriota,TtrAB,1
Gemmatimonadota,TtrAB,1
Acidobacteriota,TtrAB,1
Proteobacteria,TtrAB,1
Myxococcota_A,TtrAB,1
Bacteroidota,TtrAB,1
Acidobacteriota,TtrAB,1
Chloroflexota,TtrAB,1
Proteobacteria,TtrAB,1
Proteobacteria,TtrAB,1
Proteobacteria,TtrAB,1
Desulfobacterota_D,TtrAB,1
Proteobacteria,TtrAB,1
Proteobacteria,TtrAB,1
Proteobacteria,TtrAB,1
Acidobacteriota,TtrAB,1
Proteobacteria,TtrAB,1
Proteobacteria,TtrAB,1
Desulfobacterota_B,TtrAB,1
Planctomycetota,TtrAB,1
Proteobacteria,TtrAB,1
Gemmatimonadota,TtrAB,1
Gemmatimonadota,TtrAB,1
Planctomycetota,TtrAB,1
SAR324,TtrAB,1
Chloroflexota,TtrAB,1
SAR324,TtrAB,1
Desulfobacterota_D,TtrAB,1
Methylomirabilota,TtrAB,1
Acidobacteriota,TtrAB,1
Proteobacteria,TtrAB,1
Planctomycetota,TtrAB,1
Krumholzibacteriota,TtrAB,1
SAR324,TtrAB,1
Proteobacteria,TtrAB,1
Bacteroidota,TtrAB,1
Myxococcota,TtrAB,1
Desulfobacterota_D,TtrAB,1
Proteobacteria,TtrAB,1
Myxococcota_A,TtrAB,1
Bacteroidota,TtrAB,1
Acidobacteriota,TtrAB,1
Thermoproteota,TtrAB,1
Proteobacteria,TtrAB,1
SAR324,TtrAB,1
Planctomycetota,TtrAB,1
Chloroflexota,TtrAB,1
Myxococcota_A,TtrAB,1
Actinobacteriota,TtrAB,1
SAR324,TtrAB,1
Chloroflexota,TtrAB,1
Myxococcota_A,TtrAB,1
Chloroflexota,TtrAB,1
Proteobacteria,TtrAB,1
Verrucomicrobiota,TtrAB,1
Myxococcota_A,TtrAB,1
Proteobacteria,TtrAB,1
Bacteroidota,TtrAB,1
Proteobacteria,TtrAB,1
Acidobacteriota,TtrAB,1
Gemmatimonadota,TtrAB,1
Acidobacteriota,TtrAB,1
Proteobacteria,TtrAB,1
Acidobacteriota,TtrAB,1
Desulfobacterota_B,TtrAB,1
Actinobacteriota,TtrAB,1
Desulfobacterota_B,TtrAB,1
Tectomicrobia,TtrAB,1
Proteobacteria,TtrAB,1
Acidobacteriota,TtrAB,1
Desulfobacterota_B,TtrAB,1
Proteobacteria,TtrAB,1
Proteobacteria,TtrAB,1
Actinobacteriota,TtrAB,1
Proteobacteria,TtrAB,1
SAR324,TtrAB,1
Gemmatimonadota,TtrAB,1
Proteobacteria,soxZY,1
Proteobacteria,soxZY,1
Proteobacteria,soxZY,1
Proteobacteria,soxZY,1
Proteobacteria,soxZY,1
Proteobacteria,soxZY,1
Proteobacteria,soxZY,1
Proteobacteria,soxZY,1
SAR324,nifH,1
SAR324,nifH,1
SAR324,nifH,1
SAR324,nifH,1
SAR324,nifH,1
SAR324,nifH,1
SAR324,nifH,1
SAR324,nifH,1
SAR324,nifH,1
Proteobacteria,dsrAB,1
Proteobacteria,dsrAB,1
Proteobacteria,dsrAB,1
Proteobacteria,dsrAB,1
Proteobacteria,dsrAB,1
Proteobacteria,dsrAB,1
Proteobacteria,dsrAB,1
Desulfobacterota_D,sseA,1
Actinobacteriota,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Chloroflexota,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Thermoproteota,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
SAR324,sseA,1
Planctomycetota,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
SAR324,sseA,1
Proteobacteria,sseA,1
Planctomycetota,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Desulfobacterota_D,sseA,1
SAR324,sseA,1
Planctomycetota,sseA,1
Thermoproteota,sseA,1
Chloroflexota,sseA,1
Desulfobacterota_D,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Acidobacteriota,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Desulfobacterota_D,sseA,1
Nitrospirota,sseA,1
Proteobacteria,sseA,1
Thermoproteota,sseA,1
Actinobacteriota,sseA,1
Planctomycetota,sseA,1
Actinobacteriota,sseA,1
Desulfobacterota_D,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Desulfobacterota_B,sseA,1
Desulfobacterota_B,sseA,1
Proteobacteria,sseA,1
SAR324,sseA,1
SAR324,sseA,1
Nitrospirota,sseA,1
Desulfobacterota_D,sseA,1
Methylomirabilota,sseA,1
Actinobacteriota,sseA,1
Proteobacteria,sseA,1
Krumholzibacteriota,sseA,1
Planctomycetota,sseA,1
SAR324,sseA,1
Proteobacteria,sseA,1
Bacteroidota,sseA,1
Myxococcota,sseA,1
Desulfobacterota_D,sseA,1
Proteobacteria,sseA,1
Planctomycetota,sseA,1
Proteobacteria,sseA,1
Methylomirabilota,sseA,1
Myxococcota_A,sseA,1
Bacteroidota,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Desulfobacterota_B,sseA,1
SAR324,sseA,1
Tectomicrobia,sseA,1
Actinobacteriota,sseA,1
SAR324,sseA,1
Chloroflexota,sseA,1
Myxococcota_A,sseA,1
Chloroflexota,sseA,1
Proteobacteria,sseA,1
Actinobacteriota,sseA,1
Proteobacteria,sseA,1
Proteobacteria,sseA,1
Poribacteria,sseA,1
Acidobacteriota,sseA,1
Proteobacteria,sseA,1
Desulfobacterota_B,sseA,1
Actinobacteriota,sseA,1
Tectomicrobia,sseA,1
Desulfobacterota_B,sseA,1
Tectomicrobia,sseA,1
Chloroflexota,sseA,1
Proteobacteria,sseA,1
Desulfobacterota_B,sseA,1
Proteobacteria,sseA,1
Chloroflexota,sseA,1
Proteobacteria,sseA,1
Actinobacteriota,sseA,1
Proteobacteria,sseA,1
SAR324,sseA,1
Gemmatimonadota,sseA,1
Planctomycetota,hao,1
Desulfobacterota_B,hao,1
Desulfobacterota_B,hao,1
Planctomycetota,hao,1
Planctomycetota,hao,1
Myxococcota,hao,1
Acidobacteriota,hao,1
Planctomycetota,hao,1
Desulfobacterota_B,hao,1
Myxococcota_A,hao,1
Poribacteria,hao,1
Desulfobacterota_B,hao,1
Acidobacteriota,hao,1
Planctomycetota,hao,1
Desulfobacterota_D,glpE,1
Acidobacteriota,glpE,1
Actinobacteriota,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Planctomycetota,glpE,1
Chloroflexota,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Actinobacteriota,glpE,1
Thermoproteota,glpE,1
KSB1,glpE,1
Nitrospinota,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
SAR324,glpE,1
Planctomycetota,glpE,1
Proteobacteria,glpE,1
Thermoproteota,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Planctomycetota,glpE,1
SAR324,glpE,1
Gemmatimonadota,glpE,1
Planctomycetota,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Planctomycetota,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Desulfobacterota_D,glpE,1
SAR324,glpE,1
Bacteroidota,glpE,1
Planctomycetota,glpE,1
Thermoproteota,glpE,1
Planctomycetota,glpE,1
Chloroflexota,glpE,1
Desulfobacterota_D,glpE,1
Acidobacteriota,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Acidobacteriota,glpE,1
Gemmatimonadota,glpE,1
Acidobacteriota,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Myxococcota_A,glpE,1
Planctomycetota,glpE,1
Bacteroidota,glpE,1
Acidobacteriota,glpE,1
Chloroflexota,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Desulfobacterota_D,glpE,1
Nitrospirota,glpE,1
Proteobacteria,glpE,1
Thermoproteota,glpE,1
Actinobacteriota,glpE,1
Proteobacteria,glpE,1
Planctomycetota,glpE,1
Actinobacteriota,glpE,1
Desulfobacterota_D,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Acidobacteriota,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Desulfobacterota_B,glpE,1
Planctomycetota,glpE,1
Desulfobacterota_B,glpE,1
Proteobacteria,glpE,1
Gemmatimonadota,glpE,1
Gemmatimonadota,glpE,1
Bacteroidota,glpE,1
Bacteroidota,glpE,1
Planctomycetota,glpE,1
SAR324,glpE,1
Chloroflexota,glpE,1
SAR324,glpE,1
Nitrospirota,glpE,1
Desulfobacterota_D,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Methylomirabilota,glpE,1
Acidobacteriota,glpE,1
Proteobacteria,glpE,1
Actinobacteriota,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Latescibacterota,glpE,1
Krumholzibacteriota,glpE,1
Planctomycetota,glpE,1
SAR324,glpE,1
Acidobacteriota,glpE,1
Proteobacteria,glpE,1
Bacteroidota,glpE,1
Myxococcota,glpE,1
Desulfobacterota_D,glpE,1
Proteobacteria,glpE,1
Nitrospirota,glpE,1
Nitrospinota,glpE,1
Planctomycetota,glpE,1
Proteobacteria,glpE,1
Acidobacteriota,glpE,1
Methylomirabilota,glpE,1
Myxococcota_A,glpE,1
Bacteroidota,glpE,1
Proteobacteria,glpE,1
Acidobacteriota,glpE,1
Proteobacteria,glpE,1
Planctomycetota,glpE,1
Thermoproteota,glpE,1
Acidobacteriota,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Desulfobacterota_B,glpE,1
Planctomycetota,glpE,1
SAR324,glpE,1
Planctomycetota,glpE,1
Chloroflexota,glpE,1
Tectomicrobia,glpE,1
Myxococcota_A,glpE,1
Acidobacteriota,glpE,1
Actinobacteriota,glpE,1
SAR324,glpE,1
Chloroflexota,glpE,1
Bacteroidota,glpE,1
Myxococcota_A,glpE,1
Chloroflexota,glpE,1
Proteobacteria,glpE,1
Verrucomicrobiota,glpE,1
Actinobacteriota,glpE,1
Proteobacteria,glpE,1
Myxococcota_A,glpE,1
Proteobacteria,glpE,1
Poribacteria,glpE,1
Bacteroidota,glpE,1
Proteobacteria,glpE,1
Acidobacteriota,glpE,1
Gemmatimonadota,glpE,1
Acidobacteriota,glpE,1
Proteobacteria,glpE,1
Acidobacteriota,glpE,1
Desulfobacterota_B,glpE,1
Actinobacteriota,glpE,1
Tectomicrobia,glpE,1
Desulfobacterota_B,glpE,1
Tectomicrobia,glpE,1
Proteobacteria,glpE,1
Proteobacteria,glpE,1
Chloroflexota,glpE,1
Proteobacteria,glpE,1
Acidobacteriota,glpE,1
Desulfobacterota_B,glpE,1
Proteobacteria,glpE,1
Thermoproteota,glpE,1
