Genome	A5-S03.filter Relative Abundance (%)	A5-S04.filter Relative Abundance (%)	KW1-S05.filter Relative Abundance (%)	KW1-S08.filter Relative Abundance (%)	KW1-S11.filter Relative Abundance (%)	KW1-S15.filter Relative Abundance (%)	KW1-S21.filter Relative Abundance (%)	average
KW1-S05_81	0.7670844	0.5459378	0.6389431	0.8009035	0.8198914	0.987818	0.9151974	0.782253657
KW1-S05_82	1.9558262	2.3219547	1.9339031	1.5896658	1.9599713	1.8801017	1.9411739	1.940370957
KW1-S05_85	0.3839833	0.3436141	0.35343856	0.36190075	0.3242102	0.32743445	0.3497734	0.349193537
KW1-S08_121	0.4449169	0.8256475	0.7964056	0.27137583	0.4281206	0.40455973	0.42090976	0.513133703
KW1-S08_122	1.2503035	1.538662	1.4003835	1.4932003	1.688434	1.4296178	1.4373789	1.462568571
KW1-S08_123	5.222778	7.746287	7.9740396	5.1235657	4.540858	6.5823064	6.2280426	6.2025539
KW1-S08_128	1.0846334	0.73052615	0.80560017	1.3266847	0.9904673	1.13293	0.91417235	0.997859153
KW1-S08_12	0.45934194	0.4397559	0.39775315	0.5229232	0.43915933	0.412763	0.45569173	0.44676975
KW1-S08_133	0.2695716	0.23599115	0.23852438	0.5520318	0.47294894	0.44837114	0.3727956	0.370033516
KW1-S08_134	0.2823356	0.1520934	0.23344313	0.2930955	0.27521414	0.27460536	0.2750176	0.255114961
KW1-S08_144	0.112279944	0.18397062	0.12371027	0.21598145	0.10675749	0.111624286	0.12378053	0.139729227
KW1-S08_155	6.069227	6.7567296	5.929433	6.1677475	5.5633297	6.04711	6.5158234	6.149914314
KW1-S08_174	0.09760656	0.08924852	0.10296707	0.10976452	0.08555585	0.08354991	0.075932525	0.092089279
KW1-S08_17	0.19310246	0.11404246	0.12774728	0.18969849	0.16634066	0.16539265	0.15782937	0.159164767
KW1-S08_186	0.6013543	0.56917936	0.56993514	0.7086735	0.6433767	0.54258734	0.55899316	0.599157071
KW1-S08_192	0.27555007	0.2388801	0.25764498	0.2891352	0.39959905	0.19654246	0.24338175	0.271533373
KW1-S08_198	0.39077318	0.39075753	0.34329906	0.42400184	0.40014014	0.35347012	0.41993442	0.388910899
KW1-S08_200	0.23972687	0.2515076	0.26397914	0.346281	0.36336774	0.28574693	0.2974705	0.292582826
KW1-S08_208	0.2415491	0.16614896	0.21345182	0.26883873	0.14248954	0.2774872	0.18128474	0.213035727
KW1-S08_213	0.22834416	0.2572886	0.24735914	0.30203402	0.20710921	0.24803703	0.20296177	0.241876276
KW1-S08_222	0.14407589	0.124923244	0.12434752	0.17326693	0.20055316	0.15308093	0.13328363	0.150504472
KW1-S08_226	0.4804963	0.2832254	0.34733897	0.53750944	0.47317928	0.35539612	0.340433	0.402511216
KW1-S08_227	0.44127753	0.37460184	0.43830192	0.7146412	0.43635792	0.34502816	0.30679527	0.436714834
KW1-S08_229	0.08387581	0.07410124	0.06298022	0.09418248	0.054241426	0.066106915	0.06238881	0.071125272
KW1-S08_233	0.10918186	0.0942494	0.108563736	0.13585503	0.0730459	0.10571879	0.10223512	0.104121405
KW1-S08_236	0.18342502	0.17496613	0.21127656	0.29410607	0.21358384	0.22276829	0.24332263	0.220492649
KW1-S08_237	0.1982396	0.17634538	0.16330193	0.25019422	0.1743039	0.22176342	0.23708737	0.203033689
KW1-S08_242	0.17671795	0.19621886	0.1717913	0.16081443	0.1205203	0.11022213	0.121436246	0.151103031
KW1-S08_24	0.13857538	0.11764461	0.11910918	0.21548557	0.20039184	0.12687814	0.13334608	0.1502044
KW1-S08_251	0.19203326	0.25367582	0.26311833	0.19824827	0.18861718	0.21238537	0.22417812	0.218893764
KW1-S08_268	0.7245771	1.0570936	1.0015868	0.88280666	0.8246662	1.0614111	0.9361432	0.926897809
KW1-S08_280	0.25120348	0.29946795	0.24598837	0.2250048	0.19049083	0.24082887	0.24399878	0.242426154
KW1-S08_28	0.18381815	0.13140261	0.1615615	0.2499065	0.21403597	0.14763904	0.16494904	0.179044687
KW1-S08_30	0.33759737	0.24002609	0.33092555	0.35721287	0.17231296	0.44191238	0.34852743	0.318359236
KW1-S08_46	0.14742285	0.11233246	0.13508996	0.16020612	0.13552585	0.12602544	0.1303862	0.135284126
KW1-S08_62	0.39879912	0.1520251	0.2735779	0.21596043	0.13158125	0.15443432	0.19868615	0.217866324
KW1-S08_89	0.34473354	0.1933796	0.25025326	0.26474136	0.22870265	0.24045639	0.2720528	0.256331371
KW1-S11_103	0.1970334	0.25015846	0.22990087	0.25128368	0.28638092	0.18676443	0.23942974	0.234421643
KW1-S11_109	0.49211127	0.28936768	0.35164568	0.51942843	0.52031296	0.36834922	0.34963685	0.41297887
KW1-S11_120	0.2766616	0.25762597	0.2521581	0.34673834	0.44229016	0.40572292	0.44247857	0.34623938
KW1-S11_124	0.34617233	0.12235012	0.22903502	0.1694985	0.14761946	0.13435064	0.17781287	0.18954842
KW1-S11_125	0.2901588	0.25406846	0.32906088	0.24877709	0.31911588	0.2604056	0.24833351	0.278560031
KW1-S11_145	0.13018058	0.112052016	0.113568254	0.18199219	0.3059988	0.18363778	0.17707272	0.172071763
